ID,Uniqueid,Lat,Long,School,Address,City,Zip,Phone,Grades,BoundaryGrades,GradesLong,Type,Typenum,Classification,Boundary,Marker,Polygon,ProgramType,Rating,Count,Growth,Attainment,Culture,Mobility,Dress,ADA,Reading,Math,ACT,Graduation,College
400046,28,41.867273,-87.710679,LEARN - BUTLER,1132 S HOMAN AVE,"Chicago, IL",60624,(773)722-0200,K-8,,"K,1,2,3,4,5,6,7,8",Elementary Charter,1,Charter,Citywide,blue_c,,,Level 2,649,Below Average,Average,Organized,,Y,Generally accessible,54th,42nd,,,
400047,29,41.877861,-87.698739,LEARN - CAMPBELL,212 S FRANCISCO AVE,"Chicago, IL",60612,(773)826-0370,K-5,,"K,1,2,3,4,5",Elementary Charter,1,Charter,Citywide,blue_c,,,Level 2+,433,Average,Average,Moderately Organized,,Y,Fully Accessible,46th,48th,,,
400048,30,41.88732,-87.702071,LEARN - EXCEL,3021 W CARROLL AVE,"Chicago, IL",60612,(773)584-4300,K-5,,"K,1,2,3,4,5",Elementary Charter,1,Charter,Citywide,blue_c,,,Level 1,447,Average,Below Average,Well Organized,,Y,No/unknown accessibility,31st,32nd,,,
400049,31,41.856859,-87.730348,LEGACY,4217 W 18TH ST,"Chicago, IL",60623,(773)542-1640,K-8,,"K,1,2,3,4,5,6,7,8",Elementary Charter,1,Charter,Citywide,blue_c,,,Level 1,466,Above Average,Average,Organized,7.3,Y,Generally accessible,45th,41st,,,
400050,32,41.8257,-87.667724,NAMASTE,3737 S PAULINA ST,"Chicago, IL",60609,(773)715-9558,K-8,,"K,1,2,3,4,5,6,7,8",Elementary Charter,1,Charter,Citywide,blue_c,,,Level 1,481,Above Average,Average,Organized,4.6,Y,Generally accessible,48th,40th,,,
400051,33,41.900191,-87.662628,NOBLE - NOBLE HS,1010 N NOBLE ST,"Chicago, IL",60642,(773)862-1449,9-12,,"9,10,11,12",High School Charter,3,Charter,Citywide,red_c,,,Level 1+,631,Far Above Average,Above Average,Well Organized,,Y,No/unknown accessibility,,,21.2,92.8,84.7
400052,34,41.765252,-87.604164,NOBLE - COMER,7131 SOUTH CHICAGO AVE,"Chicago, IL",60619,(773)729-3969,6-12,9-12,"6,7,8,9,10,11,12",High School Charter,3,Charter,Charter-Attendance Area School,red_c,,,Level 1,1144,Above Average,Below Average,Not Enough Data,,Y,No/unknown accessibility,64th,58th,17.9,88.1,84.2
400053,35,41.895282,-87.664483,NOBLE - GOLDER HS,1454 W SUPERIOR ST,"Chicago, IL",60642,(312)265-9925,9-12,,"9,10,11,12",High School Charter,3,Charter,Citywide,red_c,,,Level 1+,654,Far Above Average,Average,Well Organized,,Y,Generally accessible,,,19.5,81.7,80.5
400054,36,41.915214,-87.730127,NOBLE - PRITZKER HS,4131 W CORTLAND AVE,"Chicago, IL",60639,(773)394-2848,9-12,,"9,10,11,12",High School Charter,3,Charter,Citywide,red_c,,,Level 1+,998,Far Above Average,Above Average,Well Organized,,Y,Generally accessible,,,21.9,90.3,85.7
400055,37,41.892425,-87.660859,NOBLE - RAUNER HS,1337 W OHIO ST,"Chicago, IL",60642,(312)226-5345,9-12,,"9,10,11,12",High School Charter,3,Charter,Citywide,red_c,,,Level 1+,637,Far Above Average,Average,Well Organized,,Y,Generally accessible,,,20.9,85.6,77.2
400056,38,41.895362,-87.718047,NOBLE - ROWE CLARK HS,3645 W CHICAGO AVE,"Chicago, IL",60651,(773)242-2212,9-12,,"9,10,11,12",High School Charter,3,Charter,Citywide,red_c,,,Level 2+,543,Far Above Average,Below Average,Moderately Organized,,Y,Fully Accessible,,,18.5,82.4,76.9
400057,39,41.865817,-87.676111,NOBLE - UIC HS,1231 S DAMEN AVE,"Chicago, IL",60608,(312)768-4858,9-12,9-12,"9,10,11,12",High School Charter,3,Charter,Charter-Attendance Area School,red_c,,,Level 1+,901,Far Above Average,Above Average,Well Organized,,Y,Generally accessible,,,22.2,83.3,88
400058,40,41.858564,-87.708987,NORTH LAWNDALE - CHRISTIANA HS,1615 S. CHRISTIANA AVE.,"Chicago, IL",60623,(773)542-1490,9-12,,"9,10,11,12",High School Charter,3,Charter,Citywide,red_c,,,Level 1,366,Below Average,Below Average,Partially Organized,9.1,Y,Fully Accessible,,,15.3,67.1,65.8
400059,41,41.864146,-87.700681,NORTH LAWNDALE - COLLINS HS,1313 S SACRAMENTO DR,"Chicago, IL",60623,(773)542-6766,7-12,,"8,9,10,11,12",High School Charter,3,Charter,Citywide,red_c,,,Level 2,390,Far Below Average,Far Below Average,Organized,,Y,Generally accessible,,,14.5,69.7,63.2
400060,42,41.983371,-87.67116,AHS - PASSAGES,1643 W BRYN MAWR AVE,"Chicago, IL",60660,(773)433-3530,K-8,,"K,1,2,3,4,5,6,7,8",Elementary Charter,1,Charter,Citywide,blue_c,,,Level 2+,486,Above Average,Above Average,Not Yet Organized,5.4,Y,No/unknown accessibility,78th,71st,,,
400061,43,41.745961,-87.652045,PERSPECTIVES - LEADERSHIP HS,8131 S MAY ST,"Chicago, IL",60620,(773)358-6100,6-12,,"6,7,8,9,10,11,12",High School Charter,3,Charter,Citywide,red_c,,,Level 1,483,Above Average,Below Average,Well Organized,,Y,Generally accessible,55th,35th,16.8,75.2,53.2
400062,44,41.745949,-87.650657,PERSPECTIVES - TECH HS,8131 S MAY ST,"Chicago, IL",60620,(773)358-6120,9-12,,"9,10,11,12",High School Charter,3,Charter,Citywide,red_c,,,Level 1+,375,Above Average,Below Average,Moderately Organized,,Y,Generally accessible,,,16.5,73.1,75.7
400064,45,41.855999,-87.628531,PERSPECTIVES - JOSLIN HS,1930 S ARCHER AVE,"Chicago, IL",60616,(312)225-7400,6-12,,"6,7,8,9,10,11,12",High School Charter,3,Charter,Citywide,red_c,,,Level 1,395,Above Average,Below Average,Partially Organized,,Y,Fully Accessible,28th,8th,17.5,85.7,81.6
400066,46,41.827784,-87.624788,PERSPECTIVES - MATH & SCI HS,3663 S WABASH AVE,"Chicago, IL",60653,(773)358-6800,6-12,,"6,7,8,9,10,11,12",High School Charter,3,Charter,Citywide,red_c,,,Level 1,471,Above Average,Below Average,Partially Organized,,Y,Generally accessible,55th,32nd,17.3,78.1,62.3
400068,47,41.87276,-87.763337,PLATO,5545 W HARRISON ST,"Chicago, IL",60644,(773)413-3090,K-8,,"K,1,2,3,4,5,6,7,8",Elementary School,1,Contract,Citywide,blue_circle,,,Level 2,443,Average,Below Average,Organized,9.1,Y,No/unknown accessibility,24th,15th,,,
400069,48,41.89255,-87.707796,POLARIS,620 N SAWYER AVE,"Chicago, IL",60624,(773)534-0820,K-8,,"K,1,2,3,4,5,6,7,8",Elementary Charter,1,Charter,Citywide,blue_c,,,Level 1,439,Above Average,Average,Well Organized,16.5,Y,Generally accessible,44th,39th,,,
400071,50,41.775367,-87.663996,PROVIDENCE ENGLEWOOD,6515 S ASHLAND AVE,"Chicago, IL",60636,(773)434-0202,K-8,,"K,1,2,3,4,5,6,7,8",Elementary Charter,1,Charter,Citywide,blue_c,,,Level 2+,495,Average,Average,Organized,5.4,Y,Generally accessible,54th,37th,,,
400072,51,41.752458,-87.600255,SHABAZZ - SHABAZZ,7823 S ELLIS AVE,"Chicago, IL",60619,(773)651-1221,K-8,,"K,1,2,3,4,5,6,7,8",Elementary Charter,1,Charter,Citywide,blue_c,,,Level 1,199,Average,Average,Well Organized,,Y,No/unknown accessibility,47th,31st,,,
400075,52,41.827726,-87.608501,U OF C - DONOGHUE,707 E 37TH ST,"Chicago, IL",60653,(773)285-5301,K-5,PK-5,"K,1,2,3,4,5",Elementary Charter,1,Charter,Charter-Attendance Area School,blue_c,,,Level 2+,550,Average,Average,Moderately Organized,4.9,Y,Generally accessible,51st,48th,,,
400076,53,41.811183,-87.598786,U OF C - NKO,1119 E 46TH ST,"Chicago, IL",60653,(773)536-2399,K-5,,"K,1,2,3,4,5",Elementary Charter,1,Charter,Citywide,blue_c,,,Level 1,360,Average,Above Average,Well Organized,,Y,Generally accessible,71st,54th,,,
400077,54,41.77813,-87.598114,U OF C - WOODLAWN HS,6420 S UNIVERSITY AVE,"Chicago, IL",60637,(773)752-8101,6-12,6-12,"6,7,8,9,10,11,12",High School Charter,3,Charter,Charter-Attendance Area School,red_c,,,Level 1,619,Above Average,Below Average,Well Organized,,Y,Generally accessible,50th,37th,17.2,76.3,80.4
400078,55,41.813547,-87.608426,U OF C - WOODSON,4444 S EVANS AVE,"Chicago, IL",60653,(773)624-0700,6-8,6-8,"6,7,8",Middle School Charter,2,Charter,Charter-Attendance Area School,orange_c,,,Level 1,298,Above Average,Average,Moderately Organized,,Y,Generally accessible,65th,47th,,,
400079,56,41.810135,-87.730495,UNO - ZIZUMBO,4248 W 47TH ST,"Chicago, IL",60632,(773)579-3470,K-8,,"K,1,2,3,4,5,6,7,8",Elementary Charter,1,Charter,Citywide,blue_c,,,Level 1+,624,Above Average,Above Average,Partially Organized,,Y,Fully Accessible,83rd,79th,,,
400080,57,41.8082,-87.73045,UNO - TORRES,4248 W 47TH ST,"Chicago, IL",60632,(773)579-3475,K-8,,"K,1,2,3,4,5,6,7,8",Elementary Charter,1,Charter,Citywide,blue_c,,,Level 1+,613,Above Average,Above Average,Not Yet Organized,,Y,Fully Accessible,76th,71st,,,
400081,58,41.859504,-87.667949,UNO - DE LAS CASAS,1641 W 16TH ST,"Chicago, IL",60608,(312)432-3224,K-8,,"K,1,2,3,4,5,6,7,8",Elementary Charter,1,Charter,Citywide,blue_c,,,Level 1+,285,Above Average,Above Average,Organized,,Y,Fully Accessible,63rd,84th,,,
400082,59,41.937476,-87.699594,UNO - FUENTES,2845 W BARRY AVE,"Chicago, IL",60618,(773)279-9826,K-8,K-8,"K,1,2,3,4,5,6,7,8",Elementary Charter,1,Charter,Charter-Attendance Area School,blue_c,,,Level 1,555,Average,Above Average,Well Organized,,Y,No/unknown accessibility,80th,75th,,,
400083,60,41.850035,-87.692551,UNO - PAZ,2651 W 23RD ST,"Chicago, IL",60608,(773)890-1054,K-8,,"K,1,2,3,4,5,6,7,8",Elementary Charter,1,Charter,Citywide,blue_c,,,Level 2+,384,Average,Average,Not Yet Organized,5,Y,No/unknown accessibility,66th,50th,,,
400084,61,41.79993,-87.693862,UNO - TAMAYO,5135 S CALIFORNIA AVE,"Chicago, IL",60632,(773)434-6355,K-8,K-8,"K,1,2,3,4,5,6,7,8",Elementary Charter,1,Charter,Charter-Attendance Area School,blue_c,,,Level 1+,286,Above Average,Average,Well Organized,,Y,No/unknown accessibility,59th,65th,,,
400085,62,41.809171,-87.730467,UNO - GARCIA HS,4248 W 47TH ST,"Chicago, IL",60632,(773)579-3480,9-12,,"9,10,11,12",High School Charter,3,Charter,Citywide,red_c,,,Level 1+,614,Above Average,Below Average,Well Organized,,Y,No/unknown accessibility,,,17.7,84.5,63
400086,63,41.781498,-87.634357,URBAN PREP - ENGLEWOOD HS,6201 S STEWART AVE,"Chicago, IL",60621,(773)535-9724,9-12,,"9,10,11,12",High School Charter,3,Charter,Citywide,red_c,,,Level 2+,323,Average,Below Average,Partially Organized,7.7,Y,Generally accessible,,,16.7,71.3,67.1
400087,64,41.844544,-87.618724,YOUNG WOMENS HS,2641 S CALUMET AVE,"Chicago, IL",60616,(312)949-9400,7-12,,"8,9,10,11,12",High School Charter,3,Charter,Citywide,red_c,,,Level 2+,249,Average,Below Average,Partially Organized,17.5,Y,Generally accessible,,,15.7,66.7,61.4
400089,65,41.808309,-87.697394,UNO - MARQUEZ,2916 W 47TH ST,"Chicago, IL",60632,(773)321-2200,K-8,,"K,1,2,3,4,5,6,7,8",Elementary Charter,1,Charter,Citywide,blue_c,,,Level 1,572,Above Average,Average,Not Yet Organized,,Y,Generally accessible,62nd,62nd,,,
400091,66,41.863301,-87.659095,CHICAGO TECH HS,1301 W 14TH ST,"Chicago, IL",60608,(773)534-7755,9-12,,"9,10,11,12",High School,3,Contract,Citywide,red_circle,,,Level 2,274,Below Average,Below Average,Organized,9.2,Y,Fully Accessible,,,15.6,69.5,60
400092,67,41.653663,-87.605039,CICS - BOND,13300 S LANGLEY AVE,"Chicago, IL",60827,(773)468-1300,K-6,,"K,1,2,3,4,5,6",Elementary Charter,1,Charter,Citywide,blue_c,,,Level 1,344,Far Above Average,Average,Well Organized,,Y,Generally accessible,48th,46th,,,
400094,68,41.744849,-87.550222,EPIC HS,8255 S HOUSTON AVE,"Chicago, IL",60617,(773)535-7930,9-12,,"9,10,11,12",High School Charter,3,Charter,Citywide,red_c,,,Level 1+,496,Far Above Average,Below Average,Organized,17.4,Y,Generally accessible,,,17.5,69.9,72.7
400096,69,41.907797,-87.664072,ROWE,1424 N CLEAVER ST,"Chicago, IL",60642,(312)799-5870,K-8,,"K,1,2,3,4,5,6,7,8",Elementary Charter,1,Charter,Citywide,blue_c,,,Level 1,942,Average,Average,Organized,2.9,Y,Generally accessible,63rd,67th,,,
400097,70,41.878809,-87.678195,NOBLE - BULLS HS,2040 W ADAMS ST,"Chicago, IL",60612,(773)534-7599,9-12,9-12,"9,10,11,12",High School Charter,3,Charter,Charter-Attendance Area School,red_c,,,Level 1+,1131,Far Above Average,Above Average,Well Organized,7.3,Y,Generally accessible,,,21.7,71.5,84.4
400098,71,41.88274,-87.626338,NOBLE - MUCHIN HS,1 N STATE ST,"Chicago, IL",60602,(312)445-4680,9-12,,"9,10,11,12",High School Charter,3,Charter,Citywide,red_c,,,Level 1+,939,Far Above Average,Above Average,Well Organized,,Y,Generally accessible,,,21.8,86.4,88.4
400101,72,41.822884,-87.693996,UNO - CISNEROS,2744 W PERSHING RD,"Chicago, IL",60632,(773)376-8830,K-8,,"K,1,2,3,4,5,6,7,8",Elementary Charter,1,Charter,Citywide,blue_c,,,Level 1+,541,Far Above Average,Above Average,Moderately Organized,,N,No/unknown accessibility,73rd,71st,,,
400102,73,41.86254,-87.660107,URBAN PREP - WEST HS,1326 W 14TH PL,"Chicago, IL",60608,(773)534-8860,9-12,,"9,10,11,12",High School Charter,3,Charter,Citywide,red_c,,,Level 2,267,Average,Below Average,Partially Organized,13.7,Y,Generally accessible,,,16.6,64.1,74.6
400104,74,41.845967,-87.68724,INSTITUTO - HEALTH,2520 S WESTERN AVE,"Chicago, IL",60608,(773)890-8020,9-12,,"9,10,11,12",High School Charter,3,Charter,Citywide,red_c,,,Level 1,758,Average,Below Average,Organized,4.3,Y,No/unknown accessibility,,,16.7,82.8,56.4
400105,75,41.831118,-87.613629,URBAN PREP - BRONZEVILLE HS,521 E 35TH ST,"Chicago, IL",60616,(773)624-3444,9-12,,"9,10,11,12",High School Charter,3,Charter,Citywide,red_c,,,Level 1,360,Average,Below Average,Organized,12.4,Y,No/unknown accessibility,,,16.6,82.4,75
400106,76,41.778369,-87.635117,NOBLE - JOHNSON HS,6350 S STEWART AVE,"Chicago, IL",60621,(312)348-1888,9-12,,"9,10,11,12",High School Charter,3,Charter,Citywide,red_c,,,Level 1,851,Far Above Average,Below Average,Well Organized,,Y,No/unknown accessibility,,,18.2,77.4,81.3
400107,77,41.733333,-87.54558,LEARN - SOUTH CHICAGO,8914 S BUFFALO AVE,"Chicago, IL",60617,(773)722-8577,K-8,,"K,1,2,3,4,5,6,7,8",Elementary Charter,1,Charter,Citywide,blue_c,,,Level 2+,482,Average,Average,Moderately Organized,9.6,Y,No/unknown accessibility,46th,61st,,,
400109,78,41.720863,-87.662336,PROLOGUE - JOHNSTON HS,1551 W 95TH ST,"Chicago, IL",60643,(773)341-2260,9-12,,"9,10,11,12",High School Charter,3,Charter-Option,Citywide,red_c,,,Inability to Rate,48,No Data Available,Far Below Average,Organized,141.7,Y,Fully Accessible,,,13.6,28.6,18.6
400111,79,41.743122,-87.665721,LEARN - PERKINS,1700 W 83RD ST,"Chicago, IL",60620,(773)488-1634,K-8,,"K,1,2,3,4,5,6,7,8",Elementary Charter,1,Charter,Citywide,blue_c,,,Level 2+,493,Average,Average,Well Organized,,N,No/unknown accessibility,46th,48th,,,
400112,80,41.801042,-87.708797,UNO - SOCCER ELEM,5050 S HOMAN AVE,"Chicago, IL",60632,(312)455-5450,K-8,,"K,1,2,3,4,5,6,7,8",Elementary Charter,1,Charter,Citywide,blue_c,,,Level 1,576,Above Average,Above Average,Partially Organized,,N,No/unknown accessibility,53rd,83rd,,,
400113,81,41.907797,-87.645561,CICS - CHICAGOQUEST HS,1443 N OGDEN AVE,"Chicago, IL",60610,(773)565-2100,6-12,6-9,"6,7,8,9,10,11,12",High School Charter,3,Charter,Charter-Attendance Area School,red_c,,,Level 2+,287,Above Average,Below Average,Well Organized,8.4,N,No/unknown accessibility,35th,7th,16.5,,
400114,82,41.900344,-87.689896,UNO - SANTIAGO,2510 W CORTEZ ST,"Chicago, IL",60622,(312)455-5410,K-8,,"K,1,2,3,4,5,6,7,8",Elementary Charter,1,Charter,Citywide,blue_c,,,Level 1+,280,Far Above Average,Above Average,Well Organized,,N,No/unknown accessibility,71st,70th,,,
400115,83,41.770992,-87.693075,CATALYST - MARIA,6727 S CALIFORNIA AVE,"Chicago, IL",60629,(773)993-1770,K-12,,"K,1,2,3,4,5,6,7,8,9,10,11,12",High School Charter,3,Charter,Citywide,red_c,,,Level 1+,1105,Above Average,Average,Not Enough Data,8,Y,No/unknown accessibility,49th,39th,16.8,,76.9
400116,84,41.76739,-87.667639,MONTESSORI ENGLEWOOD,6936 S HERMITAGE AVE,"Chicago, IL",60636,(773)535-9255,K-5,,"K,1,2,3,4,5",Elementary Charter,1,Charter,Citywide,blue_c,,,Level 1,290,Far Above Average,Below Average,Not Yet Organized,33.8,N,No/unknown accessibility,13th,13th,,,
400117,85,41.734442,-87.650987,NOBLE - HANSBERRY HS,8748 S ABERDEEN ST,"Chicago, IL",60620,(773)729-3400,9-12,,"9,10,11,12",High School Charter,3,Charter,Citywide,red_c,,,Level 1+,706,Far Above Average,Average,Well Organized,,Y,No/unknown accessibility,,,19.1,,
400118,86,41.869328,-87.711654,NOBLE - DRW HS,931 S HOMAN AVE,"Chicago, IL",60624,(773)893-4500,9-12,,"9,10,11,12",High School Charter,3,Charter,Citywide,red_c,,,Level 1,534,Above Average,Below Average,Well Organized,,Y,No/unknown accessibility,,,18.6,,
400119,87,41.881733,-87.733778,LEGAL PREP HS,4319 W WASHINGTON BLVD,"Chicago, IL",60612,(773)922-7800,9-12,,"9,10,11,12",High School Charter,3,Charter,Citywide,red_c,,,Level 2+,294,Below Average,Below Average,Well Organized,30.2,Y,Fully Accessible,,,16,,
400120,88,41.917952,-87.78783,UNO - CLEMENTE,2050 N NATCHEZ AVE,"Chicago, IL",60707,(312)455-5425,K-8,K-8,"K,1,2,3,4,5,6,7,8",Elementary Charter,1,Charter,Charter-Attendance Area School,blue_c,,,Level 2+,567,Average,Average,Not Yet Organized,,N,No/unknown accessibility,43rd,41st,,,
400121,89,42.016476,-87.684406,UNO - ROGERS PARK,7416 N RIDGE BLVD,"Chicago, IL",60645,(312)455-5442,K-12,,"K,1,2,3,4,5,6,7,8,9,10,11,12",High School Charter,3,Charter,Citywide,red_c,,,Level 2,734,Below Average,Average,Not Yet Organized,,Y,No/unknown accessibility,42nd,45th,16.6,,
400123,90,41.880447,-87.742539,YCCS - SCHOLASTIC ACHIEVEMENT,4651 W MADISON ST,"Chicago, IL",60644,(773)921-1315,10-12,,"10,11,12",High School Charter,3,Charter-Option,Citywide,red_c,,,Level 1,210,No Data Available,Far Below Average,Organized,,N,No/unknown accessibility,,,13.3,,8.9
